MARK	EID	Epigenome_name	FRAGLEN
H3K36me3	E003										H1_Cell_Line								   100
H3K36me3	E004										H1_BMP4_Derived_Mesendoderm_Cultured_Cells				   120
H3K36me3	E005										H1_BMP4_Derived_Trophoblast_Cultured_Cells				   130
H3K36me3	E006										H1_Derived_Mesenchymal_Stem_Cells					   115
H3K36me3	E007										H1_Derived_Neuronal_Progenitor_Cultured_Cells				   125
H3K36me3	E008										H9_Cell_Line								   110
H3K36me3	E009										H9_Derived_Neuronal_Progenitor_Cultured_Cells				   125
H3K36me3	E010										H9_Derived_Neuron_Cultured_Cells					   140
H3K36me3	E011										hESC_Derived_CD184+_Endoderm_Cultured_Cells				   220
H3K36me3	E012										hESC_Derived_CD56+_Ectoderm_Cultured_Cells				   200
H3K36me3	E013										hESC_Derived_CD56+_Mesoderm_Cultured_Cells				   215
H3K36me3	E014										HUES48_Cell_Line							   175
H3K36me3	E015										HUES6_Cell_Line								   165
H3K36me3	E016										HUES64_Cell_Line							   165
H3K36me3	E017										IMR90_Cell_Line								   130
H3K36me3	E018										iPS-15b_Cell_Line							   175
H3K36me3	E019										iPS-18_Cell_Line							   190
H3K36me3	E020										iPS-20b_Cell_Line							   175
H3K36me3	E021										iPS_DF_6.9_Cell_Line							   110
H3K36me3	E022										iPS_DF_19.11_Cell_Line							   120
H3K36me3	E023										Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells			   195
H3K36me3	E024										4star									   160
H3K36me3	E025										Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells			   195
H3K36me3	E026										Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells		   180
H3K36me3	E027										Breast_Myoepithelial_Cells						   140
H3K36me3	E028										Breast_vHMEC								   280
H3K36me3	E029										CD14_Primary_Cells							   170
H3K36me3	E030										CD15_Primary_Cells							   180
H3K36me3	E031										CD19_Primary_Cells_Cord_BI						   125
H3K36me3	E032										CD19_Primary_Cells_Peripheral_UW					   150
H3K36me3	E033										CD3_Primary_Cells_Cord_BI						   205
H3K36me3	E034										CD3_Primary_Cells_Peripheral_UW						   160
H3K36me3	E035										CD34_Primary_Cells							   155
H3K36me3	E036										CD34_Cultured_Cells							   135
H3K36me3	E037										CD4_Memory_Primary_Cells						   230
H3K36me3	E038										CD4_Naive_Primary_Cells							   255
H3K36me3	E039										CD4+_CD25-_CD45RA+_Naive_Primary_Cells					   225
H3K36me3	E040										CD4+_CD25-_CD45RO+_Memory_Primary_Cells					   215
H3K36me3	E041										CD4+_CD25-_IL17-_PMA-Ionomycin_stimulated_MACS_purified_Th_Primary_Cells   240
H3K36me3	E042										CD4+_CD25-_IL17+_PMA-Ionomcyin_stimulated_Th17_Primary_Cells		   220
H3K36me3	E043										CD4+_CD25-_Th_Primary_Cells						   240
